species;species2;occ;habitat;kvadrat;x;y;temperature;precipitation;artificalSurfaces;agricultur;water;forest
Bucephala clangula;Common goldeneye;0;water;6347;-809467;-1082653;114;63;1;77.4622636;0;36.40322825
Bucephala clangula;Common goldeneye;0;water;6348;-797562;-1084414;103;69;1;29.5212452;1.006121;73.36746182
Bucephala clangula;Common goldeneye;0;water;6349;-785652;-1086147;105;69;1;60.78090849;0.385118;47.02620884
Bucephala clangula;Common goldeneye;0;water;6350;-773739;-1087856;113;65;1;78.67309793;0.207892;33.00378444
Bucephala clangula;Common goldeneye;0;water;6351;-761822;-1089537;122;62;1;71.65462341;26.240876;39.31232043
Bucephala clangula;Common goldeneye;0;water;6352;-749901;-1091191;121;63;1;103.5154553;0.583784;17.49617503
Bucephala clangula;Common goldeneye;0;water;6353;-737977;-1092818;116;65;1;111.7966546;0.358912;13.883841
Bucephala clangula;Common goldeneye;0;water;6354;-726049;-1094420;115;66;1;103.0309494;0.358914;20.93753979
Bucephala clangula;Common goldeneye;0;water;6355;-714118;-1095995;116;66;1;91.95746224;0;27.62907841
Bucephala clangula;Common goldeneye;0;water;6356;-702183;-1097545;116;66;1;84.44683188;9.134621;29.97473854
Bucephala clangula;Common goldeneye;0;water;6357;-690245;-1099067;115;67;1;73.71450648;8.94366;37.39446316
Bucephala clangula;Common goldeneye;0;water;6358;-678304;-1100562;114;67;1;85.4897655;0;31.6883209
Bucephala clangula;Common goldeneye;0;water;6359;-666359;-1102030;113;68;1;92.5969315;0;24.04908497
Bucephala clangula;Common goldeneye;0;water;6360;-654411;-1103474;107;70;1;88.4581739;0;30.21027505
Bucephala clangula;Common goldeneye;0;water;6361;-642460;-1104889;101;73;1;50.49333304;2.134778;56.37974585
Bucephala clangula;Common goldeneye;0;water;6362;-630505;-1106279;98;74;1;54.07244162;0.350109;56.77832585
Bucephala clangula;Common goldeneye;0;water;6363;-618548;-1107643;104;71;1;89.63613897;0.313462;29.37189033
Bucephala clangula;Common goldeneye;0;water;6364;-606588;-1108981;107;69;1;89.86078118;0.313459;28.46515998
Bucephala clangula;Common goldeneye;0;water;6365;-594624;-1110289;111;67;1;75.78821368;0;39.532512
Bucephala clangula;Common goldeneye;0;water;6366;-582658;-1111575;115;65;1;71.2527617;0;41.25428977
Bucephala clangula;Common goldeneye;0;water;6367;-570689;-1112832;113;67;1;73.83060476;0;40.45882423
Bucephala clangula;Common goldeneye;0;water;6368;-558717;-1114064;125;63;1;100.5504084;0.574276;16.13207974
Bucephala clangula;Common goldeneye;0;water;6369;-546742;-1115269;127;64;1;100.9481986;0.843539;9.570783905
Bucephala clangula;Common goldeneye;0;water;6370;-534765;-1116449;112;73;1;25.22841032;0;75.81184836
Bucephala clangula;Common goldeneye;0;water;6371;-522785;-1117601;105;79;1;28.10287631;0.749678;74.98397433
Bucephala clangula;Common goldeneye;0;water;6372;-510802;-1118727;111;79;1;79.65943901;0;34.6568438
Bucephala clangula;Common goldeneye;0;water;6373;-498817;-1119825;123;77;1;104.2249294;0.505772;12.82300403
Bucephala clangula;Common goldeneye;1;water;6374;-486829;-1120901;125;80;1;98.1172158;1.565639;10.4105574
Bucephala clangula;Common goldeneye;0;water;6375;-474839;-1121948;121;84;1;86.81129815;0.545657;22.56698471
Bucephala clangula;Common goldeneye;0;water;6376;-462847;-1122968;121;87;1;86.31011856;0.210854;20.51591865
Bucephala clangula;Common goldeneye;0;water;6377;-450852;-1123963;114;95;1;65.82363126;0;42.33303932
Bucephala clangula;Common goldeneye;0;water;6442;-870699;-1084432;111;61;1;88.71298154;0;30.86479405
Bucephala clangula;Common goldeneye;0;water;6443;-858788;-1086330;116;59;1;100.4263371;0;21.9190624
Bucephala clangula;Common goldeneye;0;water;6444;-846874;-1088201;116;60;1;85.69005894;0;31.32608876
Bucephala clangula;Common goldeneye;0;water;6445;-834955;-1090045;117;61;1;93.24896539;0.219671;25.97198631
Bucephala clangula;Common goldeneye;0;water;6446;-823033;-1091862;113;64;1;83.67135464;0;34.86566714
Bucephala clangula;Common goldeneye;0;water;6447;-811107;-1093652;112;65;1;85.02078426;0;32.73999569
Bucephala clangula;Common goldeneye;0;water;6448;-799176;-1095418;105;69;1;62.02427893;0.539481;50.42400275
Bucephala clangula;Common goldeneye;0;water;6449;-787242;-1097155;111;67;1;94.55269438;0.453147;24.22791631
Bucephala clangula;Common goldeneye;0;water;6450;-775305;-1098864;116;66;1;89.6137224;26.581854;26.07478044
Bucephala clangula;Common goldeneye;0;water;6451;-763363;-1100549;117;66;1;89.17987062;26.187268;26.74618519
Bucephala clangula;Common goldeneye;0;water;6452;-751418;-1102209;113;68;1;100.0372838;0;23.38961785
Bucephala clangula;Common goldeneye;0;water;6453;-739469;-1103839;112;68;1;100.4759636;0.373371;22.81465496
Bucephala clangula;Common goldeneye;0;water;6454;-727517;-1105445;115;67;1;107.1139334;0;18.11313247
Bucephala clangula;Common goldeneye;0;water;6455;-715561;-1107023;110;70;1;84.77371808;0.187232;34.00812919
Bucephala clangula;Common goldeneye;0;water;6456;-703602;-1108574;112;69;1;96.45415521;0;25.19631246
Bucephala clangula;Common goldeneye;0;water;6457;-691640;-1110100;114;68;1;91.43689126;0.807364;26.93382394
Bucephala clangula;Common goldeneye;0;water;6458;-679674;-1111599;110;70;1;85.04552557;0.190946;29.96394068
Bucephala clangula;Common goldeneye;0;water;6459;-667704;-1113070;113;69;1;107.8447183;0;15.05325737
Bucephala clangula;Common goldeneye;0;water;6460;-655732;-1114517;111;69;1;104.0905693;0;18.1848621
Bucephala clangula;Common goldeneye;0;water;6461;-643756;-1115934;107;71;1;85.04491652;1.64513;28.53059868
Bucephala clangula;Common goldeneye;0;water;6462;-631778;-1117329;104;71;1;94.57330498;0;24.17679345
Bucephala clangula;Common goldeneye;0;water;6463;-619796;-1118695;107;69;1;83.96755296;1.200193;31.28383457
Bucephala clangula;Common goldeneye;0;water;6464;-607811;-1120034;108;68;1;85.63592855;0;32.4348302
Bucephala clangula;Common goldeneye;0;water;6465;-595823;-1121348;116;64;1;85.06959526;0.752219;30.53676418
Bucephala clangula;Common goldeneye;0;water;6466;-583833;-1122633;109;68;1;69.246234;0.381474;41.57497881
Bucephala clangula;Common goldeneye;0;water;6467;-571839;-1123895;114;67;1;68.76600593;0;43.18763677
Bucephala clangula;Common goldeneye;0;water;6468;-559843;-1125129;126;63;1;104.0094094;0;13.39662821
Bucephala clangula;Common goldeneye;0;water;6469;-547844;-1126336;129;64;2;99.22700583;0;4.580363971
Bucephala clangula;Common goldeneye;0;water;6470;-535842;-1127518;124;68;1;99.10020609;0;18.89778828
Bucephala clangula;Common goldeneye;0;water;6471;-523838;-1128673;119;73;1;75.69040691;0;35.87387021
Bucephala clangula;Common goldeneye;0;water;6472;-511831;-1129802;123;74;1;88.21401435;0.338513;21.71775511
Bucephala clangula;Common goldeneye;0;water;6473;-499821;-1130903;122;78;1;94.49026975;1.611394;21.34124768
Bucephala clangula;Common goldeneye;0;water;6474;-487809;-1131979;115;85;1;58.10993733;0;43.31670908
Bucephala clangula;Common goldeneye;0;water;6475;-475795;-1133028;112;90;1;71.12539574;0;37.31760519
Bucephala clangula;Common goldeneye;0;water;6476;-463778;-1134051;104;98;1;37.66473303;1.823568;65.64286228
Bucephala clangula;Common goldeneye;0;water;6378;-438855;-1124929;114;98;1;45.50715622;0;37.14333535
Bucephala clangula;Common goldeneye;0;water;6477;-451759;-1135048;96;106;1;13.17960033;0.406836;84.85817193
Bucephala clangula;Common goldeneye;0;water;6478;-439738;-1136018;110;101;1;45.66645573;0;52.84728991
Bucephala clangula;Common goldeneye;0;water;6542;-872461;-1095414;106;65;1;46.40229204;0.236576;53.32721487
Bucephala clangula;Common goldeneye;0;water;6543;-860526;-1097315;115;62;1;100.9360886;0.236582;19.38654111
Bucephala clangula;Common goldeneye;0;water;6544;-848587;-1099189;112;64;1;89.0092853;0;31.42527257
Bucephala clangula;Common goldeneye;0;water;6545;-836644;-1101038;115;64;1;87.71709913;0;29.97796946
Bucephala clangula;Common goldeneye;0;water;6546;-824697;-1102857;113;66;1;99.99915683;0.392757;23.4035138
Bucephala clangula;Common goldeneye;0;water;6547;-812746;-1104653;112;67;1;88.93471728;1.546514;28.67430319
Bucephala clangula;Common goldeneye;0;water;6548;-800791;-1106421;112;68;1;97.07960876;3.830584;20.74428321
Bucephala clangula;Common goldeneye;0;water;6549;-788833;-1108162;116;67;1;88.79135959;2.751743;27.75351099
